NVDA
  2025-09: mean_close=651.919395, n=21
  2025-10: mean_close=667.572643, n=23
  2025-11: mean_close=668.630126, n=19
  2025-12: mean_close=680.537200, n=22
  2026-01: mean_close=688.697500, n=20
  2026-02: mean_close=685.658263, n=19
  2026-03: mean_close=662.590545, n=22
  2026-04: mean_close=679.741667, n=12

AU0
  2023-04: mean_close=444.405714, n=7
  2023-05: mean_close=450.729000, n=20
  2023-06: mean_close=450.074000, n=20
  2023-07: mean_close=455.333333, n=21
  2023-08: mean_close=457.133913, n=23
  2023-09: mean_close=467.402000, n=20
  2023-10: mean_close=467.097647, n=17
  2023-11: mean_close=471.874545, n=22
  2023-12: mean_close=476.815238, n=21
  2024-01: mean_close=480.686364, n=22
  2024-02: mean_close=481.468000, n=15
  2024-03: mean_close=507.514286, n=21
  2024-04: mean_close=554.951000, n=20
  2024-05: mean_close=558.913000, n=20
  2024-06: mean_close=552.284211, n=19
  2024-07: mean_close=563.678261, n=23
  2024-08: mean_close=568.964545, n=22
  2024-09: mean_close=582.853684, n=19
  2024-10: mean_close=616.072222, n=18
  2024-11: mean_close=613.731429, n=21
  2024-12: mean_close=619.470909, n=22
  2025-01: mean_close=636.743333, n=18
  2025-02: mean_close=680.730000, n=18
  2025-03: mean_close=697.071429, n=21
  2025-04: mean_close=766.481000, n=20
  2025-05: mean_close=772.616842, n=19
  2025-06: mean_close=780.027000, n=20
  2025-07: mean_close=776.922609, n=23
  2025-08: mean_close=779.280952, n=21
  2025-09: mean_close=836.940909, n=22
  2025-10: mean_close=941.326667, n=15
  2025-11: mean_close=936.039000, n=20
  2025-12: mean_close=978.573043, n=23
  2026-01: mean_close=1059.024444, n=18
  2026-02: mean_close=1127.781818, n=11
  2026-03: mean_close=1094.041053, n=19
  2026-04: mean_close=1047.158333, n=12
